Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°18'58.2""","76°09'56.6""",475,"Rk,G,Sd",QUART
"27°18'49.8""","76°10'32.8""",452,"Rk,G,Sd","QUART, SCHI"
"27°18'25.7""","76°11'19.3""",464,"Rk,G,Sd","QUART, MB, SCHI"
"27°18'27.2""","76°11'34.6""",492,"Rk,G,Sd","QUART, MB, SCHI"
"27°18'57.4""","76°11'11.4""",462,"Rk,Sd","QUART, MB, SCHI"
"27°19'01.4""","76°11'47.4""",461,"Rk,Sd","QUART, MB, SCHI"
"27°18'33.8""","76°12'38.6""",485,"Rk,Sd","QUART, MB"
"27°18'19.8""","76°13'04.9""",572,"Rk,Sd","QUART, MB"
"27°18'58.5""","76°12'13.3""",486,"Rk,Sd","QUART, MB"
"27°19'06.9""","76°12'48.6""",492,"Rk,G,Sd","QUART, MB"
"27°18'17.4""","76°13'35.6""",523,"Rk,G,Sd","QUART, MB"
"27°18'38.7""","76°14'15.0""",452,"Rk,Sd","QUART, PHYLL"
"27°19'17.2""","76°13'39.2""",521,"Rk,G,Sd","QUART, MB"
"27°19'06.9""","76°14'15.2""",461,"Rk,G,Sd","QUART, PHYLL"
"27°18'35.4""","76°14'50.0""",438,"Rk,Sd",QUART
"27°19'18.7""","76°14'47.7""",441,Sd,Undiff.Sd.
"27°19'37.1""","76°00'17.3""",474,"G,Sd","QUART, Aeol.Sd."
"27°19'43.1""","76°00'57.1""",476,"Sd,Aeol.Sd","QUART, Aeol.Sd."
"27°20'11.2""","76°00'06.3""",473,"Sd,Aeol.Sd","QUART, Aeol.Sd."
"27°20'06.3""","76°00'52.9""",475,"Sd,Aeol.Sd","QUART, Aeol.Sd."
"27°19'49.6""","76°01'20.4""",479,"Sd,Aeol.Sd",Undiff.Sd.
"27°19'24.5""","76°02'19.8""",486,"Sd,Aeol.Sd",Undiff.Sd.
"27°20'13.6""","76°01'31.9""",485,"Rk,Sd",QUART
"27°20'11.2""","76°02'23.2""",485,"Rk,Sd",QUART
"27°19'20.7""","76°02'49.4""",483,"Rk,Sd, Aeol.Sd","QUART, Aeol.Sd."
"27°19'45.2""","76°03'30.2""",482,"Rk,Sd","QUART, Aeol.Sd."
"27°19'55.4""","76°02'53.8""",508,"Sd,Aeol.Sd","QUART, Aeol.Sd."
"27°20'06.2""","76°03'15.5""",481,"Rk,Sd",QUART
"27°19'30.4""","76°04'00.3""",477,"Rk,Sd, Aeol.Sd",QUART
"27°19'40.8""","76°04'19.5""",475,"Sd,Aeol.Sd",Undiff.Sd.
"27°19'57.0""","76°04'01.0""",479,"Sd,Aeol.Sd",QUART
"27°20'16.3""","76°04'39.2""",491,"Rk,Sd",QUART
"27°19'36.4""","76°05'11.4""",471,"Rk,Sd",QUART
"27°19'29.9""","76°05'54.0""",465,"Sd,Aeol.Sd",Undiff.Sd.
"27°20'05.6""","76°05'21.2""",467,"Rk,Sd","QUART, MB"
"27°19'56.1""","76°06'00.7""",470,"Sd,Aeol.Sd",QUART
"27°19'43.9""","76°06'19.9""",465,Aeol.Sd,QUART
"27°19'27.4""","76°07'11.6""",460,"Rk,Aeol.Sd",QUART
"27°19'56.0""","76°06'27.5""",458,Aeol.Sd,QUART
"27°20'00.8""","76°06'53.6""",479,"Rk,Aeol.Sd",QUART
"27°19'44.0""","76°07'20.0""",470,"Rk,Aeol.Sd","QUART, Aeol.Sd."
"27°19'36.0""","76°08'21.0""",456,Aeol.Sd,Undiff.Sd.
"27°20'05.0""","76°07'22.5""",468,"Rk,Aeol.Sd","QUART, Aeol.Sd."
"27°19'54.4""","76°08'21.0""",482,Aeol.Sd,Undiff.Sd.
"27°19'27.1""","76°08'36.4""",469,"G,Sd",QUART
"27°19'31.2""","76°09'37.6""",497,"Rk,G,Sd",QUART
"27°20'21.9""","76°08'57.3""",472,"Rk,G,Sd",QUART
"27°20'02.4""","76°09'32.2""",513,"Rk,G,Sd",QUART
"27°19'24.0""","76°10'02.0""",475,"Rk,G,Sd","QUART, Aeol.Sd."
"27°19'23.2""","76°10'46.1""",470,"Rk,G,Sd",QUART
"27°20'01.1""","76°10'14.3""",498,"Rk,Sd",QUART
"27°19'58.4""","76°10'50.6""",508,"Rk,G,Sd",QUART
"27°19'30.7""","76°11'27.5""",469,"Rk,Sd","QUART, SCHI"
"27°19'41.5""","76°12'01.5""",484,"Rk,Sd","QUART, SCHI"
"27°20'04.8""","76°10'57.9""",526,"Rk,G,Sd","QUART, SCHI"
"27°20'16.0""","76°11'57.6""",482,"Sd,Aeol.Sd","QUART, SCHI"
"27°19'30.9""","76°12'24.7""",486,"Rk,Sd","QUART, SCHI"
"27°19'42.1""","76°13'14.7""",501,"Rk,G,Sd","QUART, AMPH"
"27°20'10.6""","76°12'31.4""",498,"Rk,G,Sd","QUART, SCHI"
"27°20'10.2""","76°13'06.1""",494,"Rk,G,Sd","QUART, SCHI"
"27°19'34.1""","76°13'47.7""",515,"Rk,G,Sd","QUART, AMPH"
"27°19'28.8""","76°14'33.2""",446,"Rk,G,Sd","QUART, PHYLL, SCH"
"27°19'54.4""","76°13'53.6""",538,"Rk,G,Sd","QUART, AMPH"
"27°20'18.1""","76°14'26.2""",460,"Rk,G,Sd","QUART, PHYLL, SCH"
"27°19'44""","76°14'51.3""",443,"Rk,G,Sd","Undiff.Sd., CARB"
"27°20'53.8""","76°00'08.8""",449,"Sd,Rk, Aeol.Sd","Undiff.Sd., QUA"
"27°20'55.4""","76°00'39.6""",461,"Sd,Aeol.Sd",Undiff.Sd.
"27°21'24.2""","76°00'02.7""",457,"Sd,Aeol.Sd","Undiff.Sd., QUA"
"27°21'17.8""","76°0'38.7""",447,"Sd,Aeol.Sd",Undiff.Sd.
"27°20'229.8""","76°01'24.6""",452,"Sd,Aeol.Sd",Undiff.Sd.
"27°20'49.0""","76°02'21.4""",489,"Sd,Aeol.Sd",Undiff.Sd.
"27°20'57.5""","76°01'41.8""",488,"Rk,Sd",QUART
"27°21'13.7""","76°02'02.9""",491,"Rk,Sd",QUART
"27°20'30.3""","76°03'00.3""",499,"Sd,Aeol.Sd","Sd., GRAN"
"27°20'31.4""","76°03'14.6""",498,"Sd,Aeol.Sd",Undiff.Sd.
"27°20'58.2""","76°02'44.0""",480,"Sd,Aeol.Sd","Sd., GRAN"
"27°21'03.8""","76°03'07.0""",481,"Rk,G,Sd",GRAN
"27°20'34.9""","76°03'57.7""",490,"Rk,Sd",QUART
"27°20'28.1""","76°04'21.6""",482,"Rk,Sd",GRAN
"27°21'12.0""","76°03'57.4""",484,"Sd,Clay",QUART
"27°21'05.7""","76°04'20.0""",488,"Rk,Sd",QUART
"27°20'34.2""","76°04'52.4""",481,"Rk,Sd",QUART
"27°20'27.0""","76°05'52.3""",467,"Rk,Sd","QUART, AMPH"
"27°21'23.8""","76°05'01.8""",475,"Rk,Sd",QUART
"27°21'26.4""","76°05'41.5""",473,Sd,QUART
"27°20'30.6""","76°06'20.3""",502,"G,Sd",QUART
"27°20'48.6""","76°06'55.9""",478,"Rk,Sd",QUART
"27°21'16.9""","76°06'18.1""",481,"Rk,Sd",QUART
"27°21'16.7""","76°06'49.5""",480,"Rk,Aeol.Sd",QUART
"27°20'43.6""","76°07'32.4""",487,"Aeol.Sd,Clay",Undiff.Sd.
"27°20'46.3""","76°08'01.7""",474,"Rk,Sd",QUART
"27°20'58.2""","76°07'23.7""",467,"Aeol.Sd,Clay",Undiff.Sd.
"27°21'09.3""","76°08'02.2""",468,"G,Sd",QUART
"27°20'42.3""","76°08'55.3""",475,"Rk,G,Sd",QUART
"27°20'29.8""","76°09'22.3""",471,Sd,Undiff.Sd.
"27°21'16.2""","76°08'40.0""",502,Sd,Undiff.Sd.
"27°21'21.4""","76°09'19.9""",475,Sd,Undiff.Sd.
"27°20'31.4""","76°09'47.6""",483,"Rk,G,Sd",QUART
"27°21'16.5""","76°10'36.4""",486,"Rk,G,Sd",QUART
"27°20'26.6""","76°11'29.4""",479,"Rk,G,Sd",QUART
"27°20'28.5""","76°11'49.2""",480,"Rk,G,Sd",QUART
"27°21'28.4""","76°11'06.0""",499,"Rk,Sd",SCHI
"27°20'58.6""","76°11'40.2""",486,"Rk,G,Sd",SCHI
"27°20'43.7""","76°12'42.2""",560,"Rk,G,Sd","QUART, MB"
"27°20'30.5""","76°13'05.3""",509,"Rk,G,Sd","QUART, SCHI"
"27°21'12.6""","76°12'39.6""",478,"Rk,Sd",QUART
"27°21'04.9""","76°13'10.9""",500,"Rk,G,Sd",QUART
"27°20'48.5""","76°13'47.0""",490,"Rk,G,Sd",QUART
"27°20'27.2""","76°14'12.1""",460,"Rk,Sd","QUART, PHYLL, S"
"27°21'17.0""","76°13'52.2""",467,"Rk,G,Sd","SCHI, PHYLL"
"27°21'23.3""","76°14'13.0""",469,"Rk,G,Sd","SCHI, PHYLL"
"27°20'48.0""","76°14'49.3""",454,"Sd,Aeol.Sd",Undiff.Sd.
"27°21'22.8""","76°14'53.3""",457,"Sd,Aeol.Sd",Undiff.Sd.
"27°21'55.6""","76°00'03.2""",443,"Sd,Aeol.Sd",Undiff.Sd.
"27°21'54.8""","76°00'53.1""",448,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'27.9""","76°00'07.2""",441,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'23.6""","76°00'53.1""",460,"Sd,Aeol.Sd","Undiff.Sd., QUA"
"27°21'59.6""","76°01'14.8""",445,"Sd,Aeol.Sd",Undiff.Sd.
"27°21'47.9""","76°01'53.5""",456,"Sd,Aeol.Sd","Undiff.Sd., QUA"
"27°22'20.9""","76°01'33.7""",466,"Sd,Aeol.Sd",QUART
"27°22'21.2""","76°01'53.5""",479,"Sd,Aeol.Sd",GRAN
"27°21'59.6""","76°01'14.8""",449,"Sd,Aeol.Sd",QUART
"27°21'42.8""","76°03'23.9""",460,"Sd,Aeol.Sd",QUART
"27°22'28.9""","76°02'38.6""",500,"Sd,Aeol.Sd",QUART
"27°22'23.6""","76°03'18.2""",473,"Sd,Rk, Aeol.Sd",QUART
"27°21'31.2""","76°04'09.6""",461,"Sd,Rk, Aeol.Sd",QUART
"27°21'56.8""","76°04'38.6""",475,"Sd,G,Rk",QUART
"27°22'03.6""","76°03'40.8""",480,"Sd,G,Rk",QUART
"27°21'37.8""","76°06'26.0""",481,"Rk,Sd",QUART
"27°21'36.3""","76°06'57.8""",480,Sd,Undiff.Sd.
"27°22'18.7""","76°06'09.6""",482,Sd,Undiff.Sd.
"27°22'20.9""","76°07'10.0""",484,Sd,Undiff.Sd.
"27°21'56.4""","76°07'37.8""",471,Sd,Undiff.Sd.
"27°21'43.0""","76°08'12.2""",481,Sd,Undiff.Sd.
"27°22'22.8""","76°07'48.6""",477,Sd,Undiff.Sd.
"27°22'22.8""","76°08'21.0""",453,Sd,Undiff.Sd.
"27°21'49.0""","76°08'51.6""",452,Sd,Undiff.Sd.
"27°21'52.0""","76°09'36.4""",470,Sd,Undiff.Sd.
"27°22'15.6""","76°08'48.7""",456,Sd,Undiff.Sd.
"27°22'25.5""","76°09'38.5""",476,Sd,Undiff.Sd.
"27°21'58.6""","76°10'11.7""",484,Sd,Undiff.Sd.
"27°21'42.0""","76°10'29.0""",481,"Rk,G,Sd",QUART
"27°22'27.7""","76°09'52.3""",482,"Rk,G,Sd",QUART
"27°22'18.1""","76°10'34.1""",485,"Rk,G,Sd",QUART
"27°21'39.6""","76°11'16.8""",495,"Rk,G,Sd",QUART
"27°21'44.4""","76°12'08.1""",488,"Rk,G,Sd",QUART
"27°22'18.8""","76°11'11.4""",496,"Rk,G,Sd",QUART
"27°22'18.0""","76°12'08.4""",492,"Rk,G,Sd",QUART
"27°21'52.4""","76°12'40.6""",486,"Rk,G,Sd","GRAN,QUART,AMPH"
"27°21'42.8""","76°13'13.4""",518,Sd,QUART
"27°22'10.7""","76°12'45.0""",494,Sd,"Undiff.Sd., PHYLL"
"27°22'31.7""","76°13'21.2""",480,"Rk,Sd","QUART, MB"
"27°21'43.8""","76°13'48.0""",443,Sd,Undiff.Sd.
"27°21'48.5""","76°14'12.7""",485,"Rk,G,Sd",CARB PHYLL
"27°22'16.5""","76°13'48.5""",441,"Rk,Sd",CARB PHYLL
"27°22'17.4""","76°14'21.6""",450,"Sd,Aeol.Sd",Undiff.Sd.
"27°21'47.9""","76°14'51.8""",440,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'17.3""","76°14'46.0""",439,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'49.4""","76°00'09.0""",442,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'49.4""","76°00'58.5""",441,"Sd,Aeol.Sd","Undiff.Sd., QUART"
"27°23'27.0""","76°00'20.7""",440,"Sd,Aeol.Sd","Undiff.Sd., QUART"
"27°23'21.4""","76°01'02.1""",444,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'57.4""","76°01'33.1""",451,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'40.1""","76°01'54.4""",445,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'24.3""","76°01'21.1""",439,"Rk,Sd",QUART
"27°23'25.9""","76°01'52.6""",476,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'55.0""","76°02'30.5""",439,"Rk,Sd, Aeol.Sd",QUART
"27°23'35.5""","76°03'34.9""",455,"Rk,Sd, Aeol.Sd",QUART
"27°22'42.7""","76°03'54.3""",470,"Rk,G,Sd",QUART
"27°22'54.7""","76°04'34.8""",469,"Rk,Sd",QUART
"27°23'35.5""","76°03'46.2""",455,"Rk,G,Sd",QUART
"27°23'13.1""","76°04'25.8""",458,"Rk,Sd",QUART
"27°22'58.0""","76°05'23.6""",485,"Rk,Sd",QUART
"27°22'45.4""","76°05'52.7""",535,"Rk,Sd",QUART
"27°23'36.3""","76°05'22.9""",455,"Rk,Sd",QUART
"27°23'17.1""","76°05'54.1""",522,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'57.4""","76°06'24.8""",519,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'40.6""","76°06'44.6""",503,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'33.6""","76°06'16.4""",512,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'19.8""","76°06'53.6""",488,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'49.3""","76°07'47.6""",484,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'37.4""","76°07'54.9""",477,"Rk,Sd",BRECC QUART
"27°23'21.7""","76°07'44.0""",483,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'15.2""","76°08'12.2""",474,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'46.2""","76°08'50.8""",474,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'47.3""","76°09'28.1""",469,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'16.7""","76°08'45.7""",478,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'28.6""","76°09'34.0""",483,"Sd,Aeol.Sd",Undiff.Sd.
"27°22'43.7""","76°10'13.7""",494,"Rk,G,Sd",QUART
"27°22'48.6""","76°10'43.1""",492,"Rk,G,Sd","QUART, GRAN"
"27°23'23.0""","76°10'09.2""",483,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'27.0""","76°10'34.4""",491,"Rk,G,Sd","QUART, GRAN"
"27°22'36.6""","76°11'13.2""",493,"Rk,G,Sd","QUART, GRAN"
"27°23'02.2""","76°11'54.6""",491,"Rk,G,Sd","GRAN,SCHI"
"27°23'19.0""","76°10'57.9""",490,"Rk,G,Sd","QUART, GRAN"
"27°23'23.0""","76°12'05.4""",498,"Rk,G,Sd","GRAN, SCHI, QUA"
"27°22'43.3""","76°12'42.6""",472,"Rk,G,Sd","QUART, PHYLL"
"27°22'55.0""","76°12'55.9""",497,"Rk,G,Sd","GRAN,SCHI"
"27°22'36.6""","76°13'43.7""",471,"Rk,Sd",CARB PHYLL
"27°23'00.6""","76°14'06.2""",465,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'31.0""","76°13'33.1""",466,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'39.2""","76°14'22.4""",481,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'04.6""","76°14'38.2""",442,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'25.2""","76°14'49.4""",437,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'50.4""","76°00'06.3""",433,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'56.0""","76°00'57.0""",437,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'33.6""","76°00'17.6""",431,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'24.8""","76°00'57.6""",429,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'08.8""","76°01'18.0""",425,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'06.3""","76°02'12.4""",438,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'40.8""","76°01'31.0""",443,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'40.5""","76°02'13.3""",431,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'07.2""","76°02'35.9""",432,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'01.6""","76°03'22.7""",439,"Sd,Aeol.Sd",Undiff.Sd.
"27°24'28.3""","76°02'34.4""",449,"Sd,Aeol.Sd",Undiff.Sd.
"27°23'53.0""","76°13'20.3""",455,"Rk,Sd","QUART,SCHI"
"27°23'44.0""","76°12'21.0""",498,Sd,Undiff.Sd.
"27°24'16.3""","76°13'19.3""",472,"Rk,G,Sd",QUART
"27°24'24.0""","76°13'39.0""",459,Sd,Undiff.Sd.
"27°24'05.1""","76°14'19.0""",451,Sd,Undiff.Sd.
"27°23'46.5""","76°13'31.5""",475,Sd,Undiff.Sd.
"27°23'53.0""","76°14'54.1""",434,Sd,Undiff.Sd.
"27°24'34.8""","76°00'06.5""",429,Sd,Undiff.Sd.
"27°25'03.6""","76°00'48.6""",458,Sd,Undiff.Sd.
"27°25'42.6""","76°01'35.5""",444,Sd,Undiff.Sd.
"27°25'02.6""","76°01'59.3""",422,Sd,Undiff.Sd.
"27°24'55.6""","76°01'22.0""",438,Sd,Undiff.Sd.
"27°25'23.4""","76°02'17.8""",447,Sd,Undiff.Sd.
"27°25'43.6""","76°02'51.2""",427,Sd,Undiff.Sd.
"27°25'07.4""","76°03'29.9""",438,Sd,Undiff.Sd.
"27°24'52.2""","76°02'42.2""",421,Sd,"QUART, Aeol.Sd."
"27°25'26.6""","76°03'04.2""",426,Sd,Undiff.Sd.
"27°25'39.7""","76°03'57.0""",428,Sd,Undiff.Sd.
"27°24'53.0""","76°04'20.4""",431,"Rk,Sd","QUART, AMPH"
"27°25'01.8""","76°03'45.3""",430,"Rk,Sd","QUART, AMPH"
"27°25'37.8""","76°04'48.5""",446,"Rk,Sd","QUART, AMPH"
"27°25'21.0""","76°05'14.5""",448,"Rk,G,Sd","QUART, AMPH"
"27°25'02.0""","76°05'50.5""",439,"Rk,Sd","QUART, AMPH"
"27°25'00.3""","76°04'55.0""",436,"Rk,G,Sd","QUART, AMPH"
"27°25'47.5""","76°05'58.6""",444,"Rk,G,Sd","QUART, AMPH"
"27°25'30.6""","76°06'28.9""",445,"Rk,G,Sd","QUART, AMPH"
"27°25'11.0""","76°07'07.5""",450,"Rk,G,Sd","QUART, AMPH, GRAN"
"27°25'04.6""","76°06'28.0""",438,"Rk,G,Sd","QUART, AMPH"
"27°25'27.0""","76°07'16.2""",452,"Rk,G,Sd","QUART, AMPH"
"27°25'28.2""","76°07'22.2""",446,"Rk,G,Sd",GRAN
"27°25'13.7""","76°08'08.6""",444,"Rk,G,Sd",GRAN
"27°24'52.2""","76°07'25.4""",446,"G,Sd",GRAN
